Par,Size,start1,end1,start2,end2
0,1,0,371470848,371472992,737434720
1,1,0,374254944,19232,367920032
0,2,0,377415232,377417408,748214304
1,2,0,388018720,19200,388017216
0,3,0,408609248,408611424,783216064
1,3,0,431057984,21632,381177536
0,4,0,435773376,435775488,817077760
1,4,0,483732288,22080,392094432
0,5,0,499218208,499220224,889193792
1,5,0,575356192,26624,415290688
0,6,0,553420480,553422688,954819104
1,6,0,653135680,20928,448483552
0,7,0,646052160,646054304,1060010048
1,7,0,749841664,20800,749850272
0,8,0,726384800,726386816,1155938816
1,8,0,843471936,18880,636341280
0,9,0,826494592,826496704,1294438720
1,9,0,1082255072,23104,1082253536
0,1,0,371528576,371530560,737904288
1,1,0,374383808,22400,374385376
0,2,0,377423552,377425600,748624384
1,2,0,387880704,18560,374407232
0,3,0,408725696,408727840,783767840
1,3,0,433100544,20672,381122112
0,4,0,435909664,435911712,817630688
1,4,0,483432672,21920,393134560
0,5,0,498808736,498811104,888773856
1,5,0,573204096,21664,413872288
0,6,0,552323968,552325952,954225792
1,6,0,655193312,21472,448463488
0,7,0,645558976,645561152,1059919616
1,7,0,750987168,22240,750988736
0,8,0,726459584,726461792,1156028224
1,8,0,844361408,18496,844362720
0,9,0,827082304,827084480,1294879264
1,9,0,930996000,19808,1305284576
0,1,0,371204224,371206240,737184640
1,1,0,374301792,19424,374300288
0,2,0,377525216,377527360,748478464
1,2,0,387886144,20736,387887680
0,3,0,408513216,408515552,783165600
1,3,0,431196416,19904,431194912
0,4,0,435954432,435956544,817754048
1,4,0,483675936,20768,393227776
0,5,0,499257280,499259424,889513792
1,5,0,572642400,21184,572640864
0,6,0,553378432,553380416,955207488
1,6,0,657058432,22272,449490816
0,7,0,645758976,645761120,1059700128
1,7,0,749388480,21536,749386944
0,8,0,725440576,725442752,1152242304
1,8,0,843362720,19264,635768992
0,9,0,825943936,825946112,1293971168
1,9,0,929487712,19392,1304121472
0,1,0,371374912,371377088,738083776
1,1,0,374212320,19200,368532768
0,2,0,377627040,377629056,749513408
1,2,0,387813344,19456,387812000
0,3,0,409214816,409216512,784644320
1,3,0,431078464,20320,381842016
0,4,0,435717696,435719872,817905504
1,4,0,484598752,21408,484600288
0,5,0,498019424,498021632,888358208
1,5,0,575467136,25088,415545472
0,6,0,552099296,552101472,953946496
1,6,0,656089088,21312,656087776
0,7,0,646362592,646364576,1060430560
1,7,0,752108864,21632,752107328
0,8,0,724127296,724129280,1153750720
1,8,0,841902368,19232,636056192
0,9,0,826971488,826973824,1295114080
1,9,0,1074754464,20128,1074760448
0,1,0,371327712,371329856,738361664
1,1,0,374372256,19456,374373792
0,2,0,378653728,378655712,750556032
