Par,Size,start1,end1,start2,end2
0,1,0,370999040,371000992,1051272704
1,1,0,390662144,103808,680962912
0,2,0,376953024,376955200,1038219040
1,2,0,666285024,98464,666286592
0,3,0,408852608,408854720,1049915648
1,3,0,681470304,21216,681471840
0,4,0,435793184,435795360,1060564416
1,4,0,642817376,24992,642818944
0,5,0,496767360,496769504,1110747200
1,5,0,643878112,24416,643879680
0,6,0,550900384,550902400,1151151072
1,6,0,654892544,24128,654894304
0,7,0,664638048,664640160,1257297312
1,7,0,707464960,88256,707463424
0,8,0,723113376,723115488,1308484128
1,8,0,765598784,90176,765600352
0,1,0,371065728,371068160,1051704480
1,1,0,681246944,132320,681245440
0,2,0,379345376,379347424,1041074624
1,2,0,663890880,94272,663889312
0,3,0,408646208,408648224,1048198592
1,3,0,673188032,26016,673193280
0,4,0,436315200,436317312,1059435968
1,4,0,640433824,23552,640435360
0,5,0,496586112,496588224,1109088224
1,5,0,640201696,20000,640200160
0,6,0,550728384,550730528,1150819392
1,6,0,654868416,23232,654866880
0,7,0,681078656,681080704,1274102656
1,7,0,708175904,101504,708174400
0,8,0,722715392,722717568,1308370016
1,8,0,764067968,87296,764066400
0,1,0,371157088,371159072,1051533632
1,1,0,680954880,95968,680953216
0,2,0,379461760,379463936,1041109856
1,2,0,663856704,94528,663858240
0,3,0,408283456,408285664,1047712672
1,3,0,666565344,19360,666566880
0,4,0,435862304,435864352,1059192288
1,4,0,639917600,29344,639919136
0,5,0,496746624,496748608,1109369792
1,5,0,639853152,20128,639846912
0,6,0,550680640,550682784,1150388352
1,6,0,653706880,19744,653705344
0,7,0,644393600,644395776,1237477984
1,7,0,707909920,95648,707911456
0,8,0,733158176,733160160,1318980192
1,8,0,765593536,119040,765595072
0,1,0,371184288,371186496,1051651776
1,1,0,680963744,88384,680962208
0,2,0,377378176,377380224,1039022656
1,2,0,664028960,96448,664030496
0,3,0,408445120,408447296,1047925952
1,3,0,449716704,24256,648276640
0,4,0,435599200,435601376,1059941760
1,4,0,658768416,23616,658769952
0,5,0,496739744,496741728,1109607616
1,5,0,639397568,24544,639396064
0,6,0,550794848,550797024,1150786496
1,6,0,654654624,23680,654656128
0,7,0,644298144,644300288,1237258528
1,7,0,707438944,100576,707440480
0,8,0,722655136,722657152,1308545152
1,8,0,764216480,102400,764218080
0,1,0,397090112,397092320,1077870944
1,1,0,680890752,93440,680888992
0,2,0,377130720,377132832,1038431968
1,2,0,663763296,90528,663761792
0,3,0,408529504,408531552,1048309632
1,3,0,647840192,19168,647841760
0,4,0,435525344,435527456,1059901024
1,4,0,640462848,19456,640464384
0,5,0,496763424,496765600,1107769536
1,5,0,671469888,24448,671471456
0,6,0,550796000,550798016,1150253792
1,6,0,654702752,22784,654701216
0,7,0,644291008,644293152,1237046976
1,7,0,707832384,72800,707830848
0,8,0,722603968,722605984,1308008256
1,8,0,764126048,87744,700472448
